id,rating,genre,director,writer,theater_date,runtime,rating_10_point,fresh
1740,R,Action and Adventure,John Gray,Kevin Brodbin,1996-10-04,91,4.2,0.0
1741,PG-13,Action and Adventure|Art House and International|Comedy|Drama,Jim Goddard,Robert Bentley|Tony Kenrick|John Kohn,1986-08-29,90,2.8,0.0
1742,PG,Action and Adventure|Comedy|Kids and Family|Science Fiction and Fantasy|Romance,Rob Reiner,William Goldman,1987-09-25,98,6.2,1.0
1743,G,Animation|Kids and Family|Science Fiction and Fantasy,Art Vitello,unknown,,100,6.2,1.0
1744,PG-13,Classics|Drama,unknown,unknown,2003-02-21,229,4.9,0.0
1745,PG,Comedy|Drama,unknown,Mike Marvin|Alex Matter,1982-07-16,110,6.2,1.0
1746,NR,Art House and International|Drama|Special Interest,Sergei Parajanov,Sergei Parajanov|Sayat Nova,1980-10-06,90,6.5,1.0
1747,R,Drama|Mystery and Suspense,Will Canon,Will Canon|Douglas Simon,2011-02-18,81,6.2,1.0
1749,PG-13,Drama|Mystery and Suspense|Romance,Jon Amiel,Nicholas Meyer|Sarah Kernochan|Anthony Shaffer|Charles Mitchell,1993-02-05,114,6.0,1.0
1750,R,Comedy|Drama,David Fincher,Jim Uhls,1999-10-15,139,7.0,1.0
1751,R,Comedy|Drama,Neil LaBute,unknown,2000-09-08,108,7.1,1.0
1752,R,Drama|Mystery and Suspense,Peter Hyams,Roderick Taylor|Peter Hyams,1983-08-04,149,5.9,1.0
1753,NR,Comedy,Paul Powell,unknown,,5,6.2,1.0
1754,R,Drama|Horror|Mystery and Suspense,Eddie Davis,unknown,,97,6.2,1.0
1756,NR,Art House and International|Drama,Nagisa Oshima,Toshiro Ishido|Nagisa Oshima,,107,6.2,1.0
1757,PG-13,Drama|Musical and Performing Arts|Romance,Trish Sie,John Swetnam,2014-08-08,112,5.3,0.0
1758,PG-13,Action and Adventure|Drama,unknown,Edward Burns|Scott Frank,2004-12-17,112,5.6,0.0
1760,PG,Comedy|Kids and Family,Joe Pytka,Leo Benvenuti|Steve Rudnick|Timothy Harris|Herschel Weingrod,1996-11-15,88,5.5,0.0
1761,NR,Classics|Drama,Sidney Gilliat,Sidney Gilliat|Val Valentine,,77,6.2,1.0
1762,PG-13,Drama,Jake Schreier,unknown,2015-07-24,109,6.1,1.0
1763,R,Action and Adventure|Science Fiction and Fantasy,Stephen Norrington,unknown,1994-12-31,120,4.0,0.0
1765,R,Comedy|Horror,Rodman Flender,Terri Hughes|Ron Milbauer,1999-04-30,92,4.6,0.0
1767,R,Comedy|Drama|Horror|Mystery and Suspense,Mary Harron,Mary Harron|Guinevere Turner,2000-04-14,97,6.5,1.0
1768,NR,Documentary,Lina Mannheimer,unknown,,90,6.2,1.0
1769,PG,Comedy|Science Fiction and Fantasy,Rod Daniel,Matthew Weisman|Jeph Loeb,1985-08-23,92,4.6,0.0
1770,R,Action and Adventure|Drama|Mystery and Suspense,Robert Ginty,Robert Ginty|Thomas Baldwin,,91,6.2,1.0
1771,NR,Action and Adventure|Drama,Fritz Lang,Jan Lustig|Margaret Fitts,1955-01-01,89,6.2,1.0
1772,R,Horror|Science Fiction and Fantasy|Television|Romance,Sebastian Gutierrez,Sebastian Gutierrez,2001-01-01,89,4.4,0.0
1773,PG-13,Comedy,Paul Mazursky,Paul Mazursky|Leon Capetanos,1988-09-09,104,4.8,0.0
1774,NR,Art House and International|Drama,Jae-eun Jeong,Jae-eun Jeong,2002-10-18,112,6.6,1.0
1775,R,Action and Adventure|Comedy|Drama,Kasi Lemmons,Michael Genet|Rick Famuyiwa,2007-07-27,118,6.9,1.0
1776,R,Comedy|Drama,Paul Mazursky,Paul Mazursky,1976-02-04,111,6.8,1.0
